ItemNo,Group,Type,Condition,Dialogue1,Dialogue2,Ambg,Question,Answer1,Answer2,is_Evet,ExpectedAnswer
1,1,exp_item,baseline,"A: Duydun mu, Ceyda'nın dairesi boşalıyor!","B: Biliyorum, harika haber değil mi? Ceyda yurtdışına taşınmak istiyormuş, hatta gönlünde Avrupa ülkeleri varmış.",A: Ceyda bir Avrupa ülkesine taşınmak istiyor yani.,Ceyda Türkiye'de yaşamaya devam etmek istiyor.,Evet,Hayır,0,Hayır
1,2,exp_item,wr,"A: Ceyda macera arıyor, Türkiye'den başka bir ülkede yaşamaya karar vermiş. Taşınmak istiyormuş.","B: Evet evet, hatta gözüne İspanya'yı kestirmiş yerleşmek için.",A: Ceyda bir Avrupa ülkesine taşınmak istiyor yani.,Ceyda herhangi bir Avrupa ülkesinde yaşamak istiyor.,Evet,Hayır,0,Hayır
1,3,exp_item,nr,"A: Ceyda bir liste yapmış, bir sürü ülke yazmış. Oralarda iş bakıyormuş, taşınmak istiyormuş.","B: Haberim var, listeyi de gördüm hatta. Sadece Avrupa ülkeleri yazmış.",A: Ceyda bir Avrupa ülkesine taşınmak istiyor yani.,Ceyda herhangi bir ülkeye yerleşmek istiyor.,Evet,Hayır,0,Hayır
1,4,exp_item,d,"A: Duydun mu, Ceyda Türkiye'den taşınmaya karar vermiş.",B: Duymaz olur muyum! Amerika'yı ve Avrupa'yı düşünmüş ama Amerika'dan vazgeçmiş. Sağlık hizmetleri pahalı diye.,A: Ceyda bir Avrupa ülkesine taşınmak istiyor yani.,Ceyda'nın taşınmaya karar verdiği belli bir Avrupa ülkesi var.,Evet,Hayır,0,Hayır
2,4,exp_item,baseline,A: Ahmet'i gördün mü bugün?,"B: Evet evet, sabah gördüm. Acelesi vardı, bir yere gidiyordu. Ayaküstü bana sokaktan bir kedi almak istediğini söyledi hatta.",A: Ahmet bir kedi sahiplenmek istiyor yani.,Ahmet yavru bir köpeği olsun istiyor.,Evet,Hayır,0,Hayır
2,1,exp_item,wr,"A: Ahmet yalnızlıktan sıkılmış, koskoca ev bomboş geliyor diyor. ","B: Evet, bana da dert yandı. Hatta gözüne mahalleden bir kediyi kestirmiş, evde ona bakacakmış.",A: Ahmet bir kedi sahiplenmek istiyor yani.,"Ahmet evine herhangi bir kediyi alacak, aklında özel bir kedi yok.",Evet,Hayır,0,Hayır
2,2,exp_item,nr,A: Bizim mahalledeki barınakta bir sürü evsiz hayvan varmış. Ahmet onlardan birini sahiplenmeye niyetlendi.,"B: Evet, gerçekten çok hayvan var orada. Hepsi de kedi!",A: Ahmet bir kedi sahiplenmek istiyor yani.,Ahmet sokaktan herhangi bir kediyi evlat edinecek.,Evet,Hayır,0,Hayır
2,3,exp_item,d,A: Ahmet bir evcil hayvanı olsun istediğini söyledi bana.,"B: Evet, bana da bahsetti. Kediye bakmak daha kolay olur diye düşünmüş, o yüzden herhangi bir kedi almak istiyormuş.",A: Ahmet bir kedi sahiplenmek istiyor yani.,Ahmet evinde herhangi bir kedi beslemek istiyor.,Evet,Hayır,1,Evet
3,3,exp_item,baseline,"A: Canan'a bir okuma aşkı gelmiş, şaşırdım gerçekten. Kitap okuyacağım diye geziyordu.",B: Ben de şaşırdım doğrusu. Bir biyografi okumak istiyorum dedi bana da.,A: Demek Canan bir biyografi okumak istiyor. ,Canan sadece dergi okumak istiyor.,Evet,Hayır,0,Hayır
3,4,exp_item,wr,"A: Haberin var mı, Canan bu dönem okuyacağı kitabı seçmiş.","B: Olmaz mı! Seçmekle kalmamış, gidip almış da. Bana gösterdi okumak istediği kitabı. Bir biyografi!",A: Demek Canan bir biyografi okumak istiyor. ,Canan bu dönem okuyacağı kitabı seçmemiş.,Evet,Hayır,0,Hayır
3,1,exp_item,nr,"A: Canan kütüphanenin bir rafını alt üst ediyordu, oradan bir kitap seçip okumak istiyormuş.","B: Evet evet, ben de gördüm onu az önce. Biyografi rafını karıştırıyordu. ",A: Demek Canan bir biyografi okumak istiyor. ,"Canan herhangi bir kitap okumak istiyor, aklında belli bir tür yok.",Evet,Hayır,0,Hayır
3,2,exp_item,d,"A: Canan'a bir kitap okuma aşkı gelmiş, inanamazsın.","B: Sorma, koşa koşa kitapçıya giderken gördüm onu. Biyografi okumak istiyormuş hatta ama aklında özel bir kitap da yokmuş.",A: Demek Canan bir biyografi okumak istiyor. ,Canan hiç kitap okumak istemiyor.,Evet,Hayır,0,Hayır
4,2,exp_item,baseline,"A: Hikmet hâlâ çok hasta. Son gördüğümde perişan haldeydi, içim parçalandı.","B: Duydum. Artık iyileşmek istiyormuş. Hastahaneye gitmek, bir doktora muayene olmak istiyormuş.",A: Desene Hikmet bir doktora görünmek istiyor. ,Hikmet çok hasta ama iyileşmek istemiyor.,Evet,Hayır,0,Hayır
4,3,exp_item,wr,"A: Hikmet hastalıktan bezmiş, tedavi olmak istiyor.","B: Evet, doktor bile seçmiş kendine. Hem internetten araştırmış, hem de tanıdıklarına sormuş da bir isim belirlemiş.",A: Desene Hikmet bir doktora görünmek istiyor. ,Hikmet hangi doktora gideceğine henüz karar vermemiş.,Evet,Hayır,0,Hayır
4,4,exp_item,nr,"A: Son gördüğümde Hikmet hâlâ çok hastaydı. Elinde de bir isim listesi vardı, o listeden birini görecekmiş.","B: Alanında iyi doktorları listelemiş, onlardan birine görünmek istiyor.",A: Desene Hikmet bir doktora görünmek istiyor. ,Hikmet seçtiği doktorlardan birine muayene olmak istiyor.,Evet,Hayır,1,Evet
4,1,exp_item,d,"A: Hikmet bu ara hiç iyi hissetmiyormuş kendini, hasta gibiymiş.","B: Maalesef. Hastahaneye gidip bir doktora muayene olmak istiyordu, ben de ona bir iki hastahane önerdim.",A: Desene Hikmet bir doktora görünmek istiyor. ,Hikmet kendini iyi hissetmediği için herhangi bir doktora muayene olmak istiyor.,Evet,Hayır,1,Evet
5,1,exp_item,baseline,"A: Hakan ödül töreninde ne giyeceğine karar verebilmiş mi, haberin var mı?","B: Geçen gün konuştuğumuzda heyecanlıydı, bana bir gömlek giymek istediğini söyledi.",A: Bizim Hakan bir gömlek giymek istiyor demek. ,Hakan ödül töreninde şık bir pijama giymek istiyor.,Evet,Hayır,0,Hayır
5,2,exp_item,wr,"A: Bu sene ödül törenini Hakan sunacakmış, duydun mu? Hatta kıyafetini bile seçmiş.","B: Evet, kendisi söyledi. Çok da heyecanlı! Bir gömlek beğenmiş, çok şık. Törene onunla gitmek istiyor.",A: Bizim Hakan bir gömlek giymek istiyor demek. ,Hakan ödül töreninde giyeceği kıyafeti seçmemiş.,Evet,Hayır,0,Hayır
5,3,exp_item,nr,A: Ödül töreni sunacağı için Hakan çok heyecanlı. Ne giyeceğini seçmeye çalışıyordu.,"B: Ortama uygun kıyafetlerini bir kenara ayırmış, hepsi de gömlek! Onlardan birini giyecekmiş.",A: Bizim Hakan bir gömlek giymek istiyor demek. ,Hakan ödül töreni için seçtiği gömleklerden birini giymek istiyor.,Evet,Hayır,1,Evet
5,4,exp_item,d,"A: Hakan çok heyecanlı, ödül törenini sunmaya hazırlanıyor.","B: Biliyorum, kıyafet konusunda benimle konuştu. Ortama en uygun giysi gömlek olur diye düşünmüş, gömlek alacak.",A: Bizim Hakan bir gömlek giymek istiyor demek.,Hakan ödül törenini sunarken pijama giymek istiyor.,Evet,Hayır,0,Hayır
6,4,exp_item,baseline,A: Mansur'un şirketi çok hızlı büyüdü. İşlere tek başına yetişemiyor olmalı.,"B: Evet, çok zorlanıyor. Bu yüzden yanında bir sekreter çalıştırmak istiyor.",A: Mansur bir sekreter çalıştırmak istiyor demek.,Mansur 'un şirketinde maalesef işler hiç iyi gitmiyor.,Evet,Hayır,0,Hayır
6,1,exp_item,wr,"A: Mansur'un işleri çok hızlı büyüdü, tek başına yetişebiliyor mu?","B: Hayır, çok zorlanıyor. Hatta biriyle görüşmüş, onu sekreter olarak yanına almak istiyormuş.",A: Mansur bir sekreter çalıştırmak istiyor demek.,Mansur kendisine yardım etmesi için seçtiği kişiyi sekreter olarak işe alacak.,Evet,Hayır,1,Evet
6,2,exp_item,nr,A: Mansur'un şirketi ne kadar hızlı büyüyor! İşlere yetişebiliyor mu?,"B: Ne mümkün! Hatta yeni sekreter işe alacak. En uygun adayları listelemiş, içlerinden birini seçecekmiş.",A: Mansur bir sekreter çalıştırmak istiyor demek.,"Mansur, uygun bulduğu sekreter adaylarından birini işe alacak.",Evet,Hayır,1,Evet
6,3,exp_item,d,"A: Mansur artık işlere tek başına yetişemiyor, şirket hızlı büyüyor.","B: Evet, bu yüzden sekreter almak istiyor. Hatta geçen gün gazeteye ilan verdi ""Sekreter aranıyor,"" diye.",A: Mansur bir sekreter çalıştırmak istiyor demek.,Mansur bir sekreter işe alacak ama aklında belli bir aday yok.,Evet,Hayır,1,Evet
7,3,exp_item,baseline,A: Ekrem arabasını elden çıkartmış. Yerine ne alacak acaba?,"B: Eski arabası çok küçüktü. Şimdi onun yerine daha büyük bir araç, bir otobüs almak istiyor.",A: Ekrem bir otobüs satın almak istiyor yani.,Ekrem daha küçük bir araba almak istiyor.,Evet,Hayır,0,Hayır
7,4,exp_item,wr,"A: Ekrem arabasını değiştirecekmiş, duydun mu? Daha büyük bir şey alacağını söyledi.","B: Bana da bahsetti. Ailesi daha rahat etsin diye değiştirecek arabasını. Bir otobüs beğendi, onu alacak.",A: Ekrem bir otobüs satın almak istiyor yani.,Ekrem ailesi için beğendiği otobüsü satın alacak.,Evet,Hayır,1,Evet
7,1,exp_item,nr,A: Ekrem'in kalabalık ailesi o küçücük arabaya sığabiliyor mu?,"B: Sığamıyorlar, hatta Ekrem birkaç tane otobüs beğenmiş. Gidip hepsini yerinde görecek, en uygununu alacakmış.",A: Ekrem bir otobüs satın almak istiyor yani.,Ekrem arabasını değiştirmek istiyor ama aklında almak istediği herhangi bir araç yok.,Evet,Hayır,0,Hayır
7,2,exp_item,d,"A: Ekrem'in ailesi çok kalabalık, çoluk çocuk... O minivana nasıl sığıyorlar anlamıyorum.","B: Sığmıyorlar ki! Hatta Ekrem minivanı sattı, yerine herhangi bir otobüs alacak.",A: Ekrem bir otobüs satın almak istiyor yani.,Ekrem bir otobüs beğendi ve onu satın almak istiyor.,Evet,Hayır,0,Hayır
8,2,exp_item,baseline,A: Fatih'in siyasete atılma planları nasıl gidiyor acaba? Hiç haberin var mı?,B: Olmaz mı! Artık daha somut adımlar atma niyetinde. Hatta bir siyasi partiye üye olmayı istiyor.,A: Fatih bir partiye üye olmayı arzuluyor desene.,Fatih siyasete atılmaktan vazgeçmiş.,Evet,Hayır,0,Hayır
8,3,exp_item,wr,"A: Fatih'le konuştum, bir şeyler anlattı ayaküstü. Parti falan diyor, haberin var mı?","B: Olmaz mı! Siyasete atılacakmış. Bir tane partiyle görüşmüş, oraya üye olmayı istiyormuş.",A: Fatih bir partiye üye olmayı arzuluyor desene.,Fatih'in üye olmak istediği belli bir parti var.,Evet,Hayır,1,Evet
8,4,exp_item,nr,A: Fatih ciddi ciddi siyasete atılmak istiyormuş.,"B: Bana da bahsetti. Kendisine en uygun partileri de belirlemiş, bunlardan birine üye olarak ilk adımı atacakmış.",A: Fatih bir partiye üye olmayı arzuluyor desene.,Fatih siyasete rasgele bir partiye üye olarak atılmak istiyor.,Evet,Hayır,0,Hayır
8,1,exp_item,d,A: Fatih ülkenin sorunlarıyla yakından ilgileniyor.,"B: Evet, bu konularda aktif olmak istiyor. Hatta bir partiye üye olmak da aklında ama seçici değil, herhangi olur diyor.",A: Fatih bir partiye üye olmayı arzuluyor desene.,Fatih herhangi bir siyasi partiye üye olmayı düşünüyor.,Evet,Hayır,1,Evet
9,1,exp_item,baseline,"A: Filiz sana tatil planlarını anlattı mı? Yazın bir kafa dinlemek, azıcık buralardan uzaklaşmak istiyormuş.","B: Evet, bahsetti biraz. Yunan adalarından birine gitmeyi düşünüyor.",A: Demek Filiz bir Yunan adasında tatil yapmak istiyor.,Filiz tatilde Güney Amerika'ya gitmek istiyor.,Evet,Hayır,0,Hayır
9,2,exp_item,wr,A: Filiz tatile çıkıyormuş! Yunan adaları varmış aklında da. Duydun mu?,"B: Tabii ki duydum! Rodos Adası'nı çok beğenmiş, hatta orada bir otelden de yer ayırtmış.",A: Demek Filiz bir Yunan adasında tatil yapmak istiyor.,Filiz tatile gideceği Yunan adasını seçmiş.,Evet,Hayır,1,Evet
9,3,exp_item,nr,"A: Filiz artık güzelce dinleneceği bir tatile çıkmalı, bu ara o kadar yoruldu ki!","B: Aynen öyle. Birkaç tane Yunan adasındaki otellere bakmış, birinde yer ayırtacakmış.",A: Demek Filiz bir Yunan adasında tatil yapmak istiyor.,Filiz tatile gitmek istiyor ama henüz hiçbir oteli incelememiş.,Evet,Hayır,0,Hayır
9,4,exp_item,d,"A: Filiz ne çok çalışıyor! Arada bir dinlenmesi, tatil yapması lazım.","B: Kendisi de farkında durumun. Tatil planı yapmış, Yunan adalarından herhangi birine gideyim diyor.",A: Demek Filiz bir Yunan adasında tatil yapmak istiyor.,Filiz çok çalıştığı için Sakız Adası'nda tatile gidecek.,Evet,Hayır,0,Hayır
10,4,exp_item,baseline,"A: Emrah'ta bir bilimsel yayın merakı başladı, fark ettin mi?",B: Fark etmemek ne mümkün! Geçen gün bana saatlerce nasıl da bir makale okumak istediğinden bahsetti.,A: Yani Emrah bir makale okumayı diliyor.,Emrah sadece çizgiroman okumak istiyor.,Evet,Hayır,0,Hayır
10,1,exp_item,wr,"A: Emrah bir şeyin çıktısını almış, elinde gezidiriyordu. En çok okumak istediği şeymiş, öyle dedi.","B: Evet, bir makalenin çıktısını almış. Vakit bulur bulmaz okuyacakmış.",A: Yani Emrah bir makale okumayı diliyor.,Emrah hangi makaleyi okumak istediğine karar vermiş.,Evet,Hayır,1,Evet
10,2,exp_item,nr,A: Emrah bir şeyler okuma niyetindeymiş. Bu yüzden kütüphaneye gidiyordu ama ne okuyacağını anlamadım.,"B: Birkaç tane çok iyi makale bastırmış, onlardan birini okuyacaktı.",A: Yani Emrah bir makale okumayı diliyor.,Emrah seçtiği çok iyi makalelerden birini kütüphanede okuyacak.,Evet,Hayır,1,Evet
10,3,exp_item,d,A: Emrah bu ara bilime karşı bir ilgi geliştirdi. Sürekli bilimsel yayın okumak istiyor.,B: Bana da bahsetti. Hedefinde ilgisini çeken bir konu bulup o konuda makale okumak var.,A: Yani Emrah bir makale okumayı diliyor.,Emrah henüz hangi konuda makale okumak istediğini bilmiyor.,Evet,Hayır,1,Evet
11,3,exp_item,baseline,"A: Gülsüm'ün cildi çok hassas, hemen kuruyor ve çatlıyor. Kışın özellikle çok zorlanıyor.","B: Evet, bu yüzden bu kış şöyle hem sıcak hem de kokoş bir eldiven takmayı düşünüyor.",A: Gülsüm kokoş bir eldiven takmak istiyor desene!,Gülsüm ellerini sıcak tutmak için eldiven takacak.,Evet,Hayır,1,Evet
11,4,exp_item,wr,"A: Gülsüm elleri çok üşüdüğü için bir eldiven alacaktı, haberin var mı ne yapmış?","B: Bütün AVM'yi gezmiş haftasonu, kokoş mu kokoş bir eldiven almış kendisine. Görsen şaşarsın!",A: Gülsüm kokoş bir eldiven takmak istiyor desene!,Gülsüm giymek istediği kokoş eldivene henüz karar vermemiş.,Evet,Hayır,0,Hayır
11,1,exp_item,nr,"A: Gülsüm'ün moda anlayışına bayılıyorum, hep çok şık giyiniyor!","B: Bence de! Elleri üşüyor diye kendine çok kokoş eldivenler almış, içlerinden birini takmak istiyordu bugün.",A: Gülsüm kokoş bir eldiven takmak istiyor desene!,Gülsüm bugün seçtiği eldivenlerden birini takacak.,Evet,Hayır,1,Evet
11,2,exp_item,d,A: Gülsüm'ün cildi çok ama çok hassas.,"B: Evet, kışın elleri hep kuruyor! Bu yüzden eldiven takmayı düşünmüş. Aklında özel bir eldiven yok ama kokoş bir şey almak istiyor.",A: Gülsüm kokoş bir eldiven takmak istiyor desene!,"Gülsüm kışın takmak için kokoş bir eldiven beğenmiş, onu alacak. ",Evet,Hayır,0,Hayır
12,2,exp_item,baseline,"A: Şahin bu ara boyacılığa atılmayı düşünüyor, haberin var mı?","B: Evet, haberim var tabii. Hatta bir duvar boyamak istediğini söyledi.",A: Şahin bir duvar boyamak niyetinde yani.,Şahin boyacılık yapmayı ve bir duvar boyamayı planlıyor.,Evet,Hayır,1,Evet
12,3,exp_item,wr,"A: Şahin'i gördüm nalburda. Bir paket boya almış, bir sürü de fırça. Seslendim ama duymadı, nereyi boyaycak acaba?","B: Bahçede bir duvar varmış, sıvası falan hep dökülmüş. Onu boyamayı düşünüyordu.",A: Şahin bir duvar boyamak niyetinde yani.,"Şahin herhangi bir duvarı boyamak istiyor, aklında belli bir duvar yok.",Evet,Hayır,0,Hayır
12,4,exp_item,nr,A: Şahin'in yeni hobisi boyacılık. Geçen hafta bizim evin çitlerini boyadı.,"B: bu hafta da radarında duvarlar var! Birkaç duvar kestirmiş gözüne, onlardan birini boyayacakmış.",A: Şahin bir duvar boyamak niyetinde yani.,"Şahin'in yeni bir hobisi var, bu yüzden seçtiği duvarlardan birini boyayacak.",Evet,Hayır,1,Evet
12,1,exp_item,d,"A: Boyacılığa taktı Şahin bu ara. Tutturdu, boya yapmak istiyormuş.","B: Şahin çok acayip bir çocuk! Şöyle dümdüz bir duvar bulsam da boyasam diyordu, fırça bile almış kendine.",A: Şahin bir duvar boyamak niyetinde yani.,Şahin kendisine duvar boyamak için fırça almış ama hangi duvarı boyayacağını henüz bilmiyor.,Evet,Hayır,1,Evet
